hs_code,description,duty_rate,chapter
06,or 03.07;or,03.08,1
01012110,00,01,1
01012110,00,02,1
01012190,00,01,1
01012190,00,02,1
01012910,00,01,1
01012910,00,02,1
01012910,00,03,1
01012910,00,04,1
01012920,00,01,1
01012920,00,02,1
01012990,00,01,1
01012990,00,02,1
01012990,00,03,1
01013000,00,00,1
01019000,00,00,1
01022100,00,01,1
01022100,00,02,1
01022900,00,03,1
01022900,00,04,1
01022900,99,99,1
01023100,00,01,1
01023100,00,02,1
01023900,00,01,1
01023900,00,02,1
01023900,99,99,1
01029011,00,00,1
01029012,00,00,1
01029019,00,00,1
01029090,00,00,1
01031000,00,00,1
50,‫ تزن أقل من‬-,-,1
01039100,00,00,1
50,‫ تزن‬-,-,1
01039200,00,00,1
01041010,00,01,1
01041010,00,02,1
01041090,00,01,1
01041090,00,02,1
01041090,00,03,1
01041090,99,99,1
01042010,00,01,1
01042010,00,02,1
01042090,00,01,1
01042090,00,02,1
01042090,00,03,1
01042090,99,99,1
01051100,00,00,1
01051200,00,00,1
01051300,00,00,1
01051400,00,00,1
01051500,00,00,1
01059410,00,00,1
01059420,00,00,1
01059430,00,00,1
01059490,00,00,1
01059910,00,00,1
01059920,00,00,1
01059990,00,00,1
01061110,00,01,1
01061110,00,02,1
01061110,00,03,1
01061110,00,04,1
01061110,99,99,1
01061190,00,00,1
01061200,00,01,1
01061200,00,02,1
01061200,00,03,1
01061200,00,04,1
01061200,00,05,1
01061200,00,06,1
01061200,99,99,1
01061310,00,00,1
01061320,00,01,1
01061320,00,02,1
01061390,00,00,1
01061400,00,01,1
01061400,00,02,1
01061930,00,01,1
01061930,00,02,1
01061930,00,03,1
01061930,00,04,1
01061930,00,05,1
01061930,00,06,1
01061930,00,07,1
01061930,99,99,1
01061940,00,01,1
01061940,00,02,1
01061940,99,99,1
01061950,00,01,1
01061950,00,02,1
01061950,00,03,1
01061950,00,04,1
01061950,00,05,1
01061950,00,06,1
01061950,99,99,1
01061960,00,01,1
01061960,00,02,1
01061960,00,03,1
01061990,00,02,1
01061990,00,03,1
01061990,00,04,1
01061990,00,05,1
01061990,00,06,1
01061990,00,07,1
01061990,00,08,1
01061990,00,09,1
01061990,00,11,1
01061990,00,12,1
01061990,00,13,1
01061990,00,14,1
01061990,00,15,1
01061990,00,16,1
01061990,00,17,1
01061990,00,18,1
01061990,00,19,1
01061990,99,99,1
01062000,00,01,1
01062000,00,02,1
01062000,00,03,1
01062000,00,04,1
01062000,00,05,1
01062000,00,06,1
01062000,99,99,1
01063910,00,01,1
01063910,00,03,1
01063910,00,05,1
01063910,00,08,1
01063910,00,09,1
01063910,00,10,1
01063910,00,11,1
01063910,00,12,1
01063910,00,13,1
01063910,00,14,1
01063920,00,00,1
01063990,00,01,1
01063990,99,99,1
01064100,00,00,1
01064900,00,01,1
01064900,00,02,1
01064900,00,04,1
01064900,99,99,1
01069000,00,00,1
02011000,00,01,1
02011000,00,02,1
02011000,00,03,1
02011000,00,04,1
02012000,00,00,1
02013000,00,00,1
02021000,00,01,1
02021000,00,02,1
02022000,00,00,1
02023010,00,00,1
02023090,00,00,1
02031100,00,00,1
02031200,00,00,1
02031900,00,00,1
02032200,00,00,1
02032900,00,00,1
01063210,00,00,1
01063220,00,00,1
01063230,00,00,1
01063240,00,00,1
01063250,00,00,1
01063260,00,00,1
01063290,00,00,1
01063300,00,00,1
01063100,00,01,15
01063100,00,02,15
01063100,99,99,15
02032100,00,00,2
02041000,00,01,2
02041000,00,02,2
02041000,00,03,2
02041000,00,04,2
02042100,00,01,2
02042100,00,02,2
02042100,00,03,2
02042100,00,04,2
02042200,00,00,2
02042300,00,01,2
02042300,00,02,2
02042300,00,03,2
02042300,00,04,2
02043000,00,01,2
02043000,00,02,2
02044100,00,01,2
02044100,00,02,2
02044200,00,00,2
02044310,00,01,2
02044310,00,02,2
02044310,00,03,2
02044390,00,00,2
02045011,00,01,2
02045011,00,02,2
02045011,00,03,2
02045011,00,04,2
02045012,00,01,2
02045012,00,02,2
02045021,00,01,2
02045021,00,03,2
02045021,00,04,2
02045021,00,05,2
02045021,00,06,2
02045021,00,07,2
02045021,00,09,2
02045021,00,10,2
02045021,00,12,2
02045022,00,01,2
02045022,00,03,2
02045022,00,04,2
02045022,00,06,2
02045022,00,07,2
02045022,00,08,2
02045031,00,01,2
02045031,00,02,2
02045032,00,00,2
02050010,00,00,2
02050090,00,00,2
02061000,00,00,2
02062100,00,00,2
02062200,00,00,2
02062900,00,00,2
02063000,00,00,2
02064100,00,00,2
02064900,00,00,2
02068010,00,00,2
02068020,00,00,2
02068090,00,00,2
02069011,00,00,2
02069012,00,00,2
02069019,00,00,2
02069091,00,00,2
02069099,00,00,2
02071100,00,00,2
02071200,00,02,2
02071200,00,03,2
02071200,99,99,2
02071300,00,01,2
02071300,00,02,2
02071300,00,03,2
02071300,00,04,2
02071300,00,08,2
02071300,00,09,2
02071300,00,10,2
02071300,00,11,2
02071300,99,99,2
02071400,00,15,2
02071400,00,16,2
02071400,00,17,2
02071400,00,18,2
02071400,99,99,2
02072400,00,01,2
02072400,00,03,2
02072400,00,04,2
02072400,00,05,2
02072500,00,01,2
02072500,00,02,2
02072600,00,00,2
02072700,00,00,2
02074100,00,01,2
02074100,00,02,2
02074200,00,00,2
02074300,00,01,2
02074300,00,02,2
02074400,00,00,2
02074500,00,00,2
02075100,00,01,2
02075100,00,02,2
02075200,00,00,2
02075300,00,01,2
02075300,00,02,2
02075400,00,00,2
02075500,00,00,2
02076010,00,01,2
02076010,00,02,2
02076020,00,01,2
02076020,00,02,2
02081010,00,00,2
02081020,00,00,2
02083000,00,01,2
02083000,00,02,2
02083000,00,03,2
02084010,00,00,2
02084020,00,00,2
02084030,00,00,2
02084040,00,00,2
02085000,00,00,2
02086010,00,01,2
02086010,00,02,2
02086010,00,10,2
02086010,99,99,2
02086020,00,01,2
02086020,00,02,2
02086020,00,10,2
02086020,99,99,2
02089021,00,01,2
02089021,00,02,2
02089022,00,01,2
02089022,00,02,2
02089031,00,00,2
02089032,00,00,2
02089091,00,00,2
02089099,00,00,2
02091000,00,00,2
02099000,00,00,2
02101100,00,00,2
02101200,00,00,3
02101900,00,00,3
02102000,00,00,3
02109100,00,00,5
02109200,00,00,5
02109300,00,00,5
02109900,00,00,5
030399,‫ لغاية‬03 03,91,5
03038100,00,00,5
03038200,00,00,5
03038300,00,00,5
03038400,00,00,5
03038910,00,00,5
03038920,00,00,5
03038930,00,00,5
03038940,00,00,5
03038951,00,00,5
03038952,00,00,5
03038960,00,00,5
03038970,00,00,5
03038980,00,00,5
03038991,00,01,5
03038991,00,02,5
03038991,00,03,5
03038991,00,04,5
03038991,00,05,5
03038991,00,06,5
03038991,99,99,5
03038999,00,00,5
03039100,00,00,5
03039200,00,00,5
03039900,00,00,5
03043100,00,00,5
03043200,00,00,5
03043300,00,00,5
03043900,00,00,5
03044100,00,00,5
03044200,00,00,5
03044300,00,00,5
03044400,00,00,5
03044500,00,00,5
03044600,00,00,5
03044700,00,00,5
03044800,00,00,5
03044900,00,00,5
03045100,00,00,5
03045200,00,00,5
03045300,00,00,5
03045400,00,00,5
03045500,00,00,5
03045600,00,00,5
03045700,00,00,5
03063400,00,03,5
03063400,00,04,5
03063300,00,03,5
03063300,00,04,5
03063200,00,03,5
03063200,00,04,5
03063500,00,03,5
03063500,00,04,5
03063600,00,03,5
03063600,00,04,5
03063900,00,00,5
03069100,00,00,5
03069200,00,00,5
03069300,00,00,5
03069400,00,00,5
03069500,00,00,5
03069900,00,00,5
03071100,00,01,5
03071100,00,02,5
03071200,00,00,5
03071900,00,00,5
03072100,00,01,5
03072100,00,02,5
03072200,00,00,5
03072900,00,00,5
03073100,00,01,5
03073100,00,02,5
03073200,00,00,5
03073900,00,00,5
03074200,00,01,5
03074200,00,02,5
03074300,00,00,5
03074900,00,00,5
03075100,00,01,5
03075100,00,02,5
03075200,00,00,5
03075900,00,00,5
03076000,00,01,5
03076000,00,02,5
03076000,00,03,5
03076000,99,99,5
03077100,00,01,5
03077100,00,14,5
03077100,00,41,5
03077100,00,53,5
03077200,00,00,5
03077900,00,00,5
03078100,00,01,5
03078100,00,02,5
03078200,00,01,5
03078200,00,02,5
03078300,00,00,5
03078400,00,00,5
03078700,00,00,5
03078800,00,00,5
03079100,00,03,5
03079100,00,04,5
03079200,00,00,5
03079900,00,00,5
03081100,00,02,4
03081100,00,03,4
03081200,00,00,4
03081900,00,00,4
03082100,00,01,4
03082100,00,02,4
03082200,00,00,4
03082900,00,00,4
03083000,00,01,4
03083000,00,02,4
03083000,00,04,4
03083000,99,99,4
03089000,00,00,4
03091000,00,00,4
03099010,00,00,4
03099090,00,00,4
040590,"‫) ( بند فرعي‬ghee( ‫ إن مصطح "" زبدة ال تشمل الزبدة منزوعة الماء أو السمن‬04 05 10 ‫ ألغراض البند الفرعي‬-",2,4
04011031,00,00,4
04011032,00,00,4
04011092,00,00,4
04011093,00,00,4
04011094,00,00,4
04011091,00,00,4
04015092,00,00,4
04015091,00,00,4
04015030,00,00,4
04014030,00,00,4
04014092,00,00,4
04012092,00,00,4
04012091,00,00,4
04014091,00,00,4
04012030,00,00,4
04021011,00,00,4
04021012,00,01,4
04021012,99,99,4
04021019,00,00,4
04021091,00,00,4
04021092,00,01,4
04021092,99,99,4
04021099,00,00,4
04022110,00,00,4
04022190,00,01,4
04022190,00,02,4
04022190,00,03,4
04022911,00,01,4
04022912,99,99,4
04022919,00,00,4
04022912,00,01,4
04022911,00,02,4
04022991,00,00,4
04022992,00,01,4
04022992,99,99,4
04022999,00,00,4
04029111,00,00,4
04029112,00,00,4
04029120,00,00,4
04029911,00,00,4
04029912,00,00,4
04029913,00,00,4
04029914,00,00,4
04029915,00,00,4
04029916,00,00,4
04029920,00,00,4
04032010,00,00,4
04032020,00,00,4
04032030,00,00,4
04032040,00,00,4
04032050,00,00,4
04032060,00,00,4
04039011,00,00,4
04039012,00,00,4
04039013,00,00,4
04039021,00,00,4
04039022,00,00,4
04039023,00,00,4
04039091,00,00,4
04039092,00,00,4
04039093,00,00,4
04039099,00,00,4
04059090,00,00,4
04061010,00,00,4
04061020,00,00,4
04061030,00,00,4
04061040,00,00,4
04061050,00,00,4
04061060,00,00,4
04062000,00,01,4
04062000,00,04,4
04063000,00,01,4
04063000,00,02,4
04063000,00,10,4
04063000,99,99,4
04069021,00,00,4
04069022,00,00,4
04069023,00,00,4
04069024,00,00,4
04069025,00,00,4
04069026,00,00,4
04069029,00,00,4
15,‫ جبن أصفر نصف معالج ال يقل وزن العبوة عن‬- -,-,4
04069030,00,00,4
04069090,00,00,4
04059010,00,00,4
04059020,00,00,4
04051019,00,00,4
04051012,00,01,4
04051012,00,02,4
04051013,00,00,4
04052000,00,04,4
04051011,00,01,4
04051011,00,02,4
04052000,00,03,4
04049000,00,00,4
04052000,00,02,4
04041000,00,00,4
04052000,00,01,4
04064010,00,00,4
04064090,00,00,4
04069010,00,00,4
04071100,00,00,4
04071900,00,00,4
04072100,00,00,4
04072900,00,00,4
04079010,00,00,4
04079020,00,00,4
04081100,00,00,4
04081910,00,00,4
04081920,00,00,4
04089100,00,00,41
04089900,00,00,41
04090010,00,00,41
04090020,00,00,41
04101000,00,00,41
04109010,00,00,41
04109020,00,00,41
04109030,00,00,41
04109090,00,00,41
04081930,00,00,41
05010000,00,00,41
05021000,00,00,41
05029000,00,00,41
05040011,00,00,41
05040012,00,00,41
05040013,00,00,41
05040014,00,00,41
05040015,00,00,41
05040021,00,00,41
05040022,00,00,41
05040023,00,00,41
05040024,00,00,41
05040025,00,00,41
05040031,00,00,41
05040032,00,00,41
05040033,00,00,41
05040034,00,00,41
05040035,00,00,41
05051010,00,00,41
05051020,00,00,41
05059010,00,00,41
05059020,00,00,41
05059030,00,00,41
05059040,00,00,41
05071000,00,01,41
05071000,00,02,41
05071000,00,03,41
05071000,00,04,41
05061000,00,00,7
05069000,00,00,7
05079010,00,00,7
05079020,00,00,7
05080010,00,00,7
05080020,00,00,7
05080031,00,00,7
05080032,00,00,7
05080033,00,00,7
05080091,00,00,7
05080092,00,00,7
05100010,00,01,7
05100010,00,04,7
05100010,00,07,7
05100010,00,10,7
05100090,00,00,7
05111000,00,00,7
05119110,00,00,7
05119120,00,00,7
05119190,00,00,7
05119910,00,00,7
05119920,00,00,7
05119930,00,00,7
05119990,00,10,7
05119940,00,00,7
05119950,00,00,7
05119990,00,01,7
05119990,00,02,7
05119990,00,03,7
05119990,00,04,7
05119990,00,05,7
05119990,00,06,7
05119990,00,07,7
05119990,00,08,7
05119990,00,09,7
06011000,00,00,7
06012000,00,00,7
06021010,00,00,7
06021020,00,00,7
06021090,00,00,7
06022010,00,00,7
06022020,00,00,7
06022030,00,00,7
06022040,00,00,7
06022050,00,00,7
06022060,00,00,7
06022090,00,00,7
06023010,00,00,7
06023090,00,00,7
06024000,00,00,7
06029000,00,05,7
06029000,00,06,7
06029000,99,99,7
06039010,00,00,7
06039090,00,00,7
06049010,00,00,7
06049020,00,00,7
12,covers all dried vegetables of the kinds falling in headings,07.01,7
12,‫ و‬07.11 ‫ و‬07.10 ‫ و‬07.09 ( ‫ لتطبيق أحكام البنود‬-,2,7
06042020,00,00,7
06042010,00,00,7
06031100,00,00,7
06031200,00,00,7
06031300,00,00,7
06031400,00,00,7
06031500,00,00,7
06031900,00,00,7
07011000,00,00,7
07019000,00,00,7
07020000,00,00,7
07052100,00,00,7
07052900,00,00,7
07061010,00,00,7
07061020,00,00,7
07069010,00,00,7
07069020,00,00,7
09,‫ كرفس لفتي عدا الكرفس الداخل في البند‬- -,-,7
07069030,00,00,7
07069040,00,00,7
07069090,00,00,7
07070000,00,00,7
07081000,00,00,7
07082000,00,00,7
07089090,00,00,7
