heading,hs_code,code_format,description,duty_rate
01.01,010121100001,01.01.21.10.00.01,,
01.01,010121100002,01.01.21.10.00.02,,
01.01,010121900001,01.01.21.90.00.01,,
01.01,010121900002,01.01.21.90.00.02,,
01.01,010129100001,01.01.29.10.00.01,,
01.01,010129100002,01.01.29.10.00.02,,
01.01,010129100003,01.01.29.10.00.03,,
01.01,010129100004,01.01.29.10.00.04,,
01.01,010129200001,01.01.29.20.00.01,,
01.01,010129200002,01.01.29.20.00.02,,
01.01,010129900001,01.01.29.90.00.01,,
01.01,010129900002,01.01.29.90.00.02,,
01.01,010129900003,01.01.29.90.00.03,,
01.01,010130000000,01.01.30.00.00.00,,
01.01,010190000000,01.01.90.00.00.00,,
01.02,010221000001,01.02.21.00.00.01,,
01.02,010221000002,01.02.21.00.00.02,,
01.02,010229000003,01.02.29.00.00.03,,
01.02,010229000004,01.02.29.00.00.04,,
01.02,010229009999,01.02.29.00.99.99,,
01.02,010231000001,01.02.31.00.00.01,,
01.02,010231000002,01.02.31.00.00.02,,
01.02,010239000001,01.02.39.00.00.01,,
01.02,010239000002,01.02.39.00.00.02,,
01.02,010239009999,01.02.39.00.99.99,,
01.02,010290110000,01.02.90.11.00.00,,
01.02,010290120000,01.02.90.12.00.00,,
01.02,010290190000,01.02.90.19.00.00,,
01.02,010290900000,01.02.90.90.00.00,,
01.03,010310000000,01.03.10.00.00.00,,
01.03,010391000000,01.03.91.00.00.00,,
01.03,010392000000,01.03.92.00.00.00,,
01.04,010410100001,01.04.10.10.00.01,,
01.04,010410100002,01.04.10.10.00.02,,
01.04,010410900001,01.04.10.90.00.01,,
01.04,010410900002,01.04.10.90.00.02,,
01.04,010410900003,01.04.10.90.00.03,,
01.04,010410909999,01.04.10.90.99.99,,
01.04,010420100001,01.04.20.10.00.01,,
01.04,010420100002,01.04.20.10.00.02,,
01.04,010420900001,01.04.20.90.00.01,,
01.04,010420900002,01.04.20.90.00.02,,
01.04,010420900003,01.04.20.90.00.03,,
01.04,010420909999,01.04.20.90.99.99,,
01.05,010511000000,01.05.11.00.00.00,,
01.05,010512000000,01.05.12.00.00.00,,
01.05,010513000000,01.05.13.00.00.00,,
01.05,010514000000,01.05.14.00.00.00,,
01.05,010515000000,01.05.15.00.00.00,,
01.05,010594100000,01.05.94.10.00.00,,
01.05,010594200000,01.05.94.20.00.00,,
01.05,010594300000,01.05.94.30.00.00,,
01.05,010594900000,01.05.94.90.00.00,,
01.05,010599100000,01.05.99.10.00.00,,
01.05,010599200000,01.05.99.20.00.00,,
01.05,010599900000,01.05.99.90.00.00,,
01.06,010611100001,01.06.11.10.00.01,,
01.06,010611100002,01.06.11.10.00.02,,
01.06,010611100003,01.06.11.10.00.03,,
01.06,010611100004,01.06.11.10.00.04,,
01.06,010611109999,01.06.11.10.99.99,,
01.06,010611900000,01.06.11.90.00.00,,
01.06,010612000001,01.06.12.00.00.01,,
01.06,010612000002,01.06.12.00.00.02,,
01.06,010612000003,01.06.12.00.00.03,,
01.06,010612000004,01.06.12.00.00.04,,
01.06,010612000005,01.06.12.00.00.05,,
01.06,010612000006,01.06.12.00.00.06,,
01.06,010612009999,01.06.12.00.99.99,,
01.06,010613100000,01.06.13.10.00.00,,
01.06,010613200001,01.06.13.20.00.01,,
01.06,010613200002,01.06.13.20.00.02,,
01.06,010613900000,01.06.13.90.00.00,,
01.06,010614000001,01.06.14.00.00.01,,
01.06,010614000002,01.06.14.00.00.02,,
01.06,010619300001,01.06.19.30.00.01,,
01.06,010619300002,01.06.19.30.00.02,,
01.06,010619300003,01.06.19.30.00.03,,
01.06,010619300004,01.06.19.30.00.04,,
01.06,010619300005,01.06.19.30.00.05,,
01.06,010619300006,01.06.19.30.00.06,,
01.06,010619300007,01.06.19.30.00.07,,
01.06,010619309999,01.06.19.30.99.99,,
01.06,010619400001,01.06.19.40.00.01,,
01.06,010619400002,01.06.19.40.00.02,,
01.06,010619409999,01.06.19.40.99.99,,
01.06,010619500001,01.06.19.50.00.01,,
01.06,010619500002,01.06.19.50.00.02,,
01.06,010619500003,01.06.19.50.00.03,,
01.06,010619500004,01.06.19.50.00.04,,
01.06,010619500005,01.06.19.50.00.05,,
01.06,010619500006,01.06.19.50.00.06,,
01.06,010619509999,01.06.19.50.99.99,,
01.06,010619600001,01.06.19.60.00.01,,
01.06,010619600002,01.06.19.60.00.02,,
01.06,010619600003,01.06.19.60.00.03,,
01.06,010619900002,01.06.19.90.00.02,,
01.06,010619900003,01.06.19.90.00.03,,
01.06,010619900004,01.06.19.90.00.04,,
01.06,010619900005,01.06.19.90.00.05,,
01.06,010619900006,01.06.19.90.00.06,,
01.06,010619900007,01.06.19.90.00.07,,
01.06,010619900008,01.06.19.90.00.08,,
01.06,010619900009,01.06.19.90.00.09,,
01.06,010619900011,01.06.19.90.00.11,,
01.06,010619900012,01.06.19.90.00.12,,
01.06,010619900013,01.06.19.90.00.13,,
01.06,010619900014,01.06.19.90.00.14,,
01.06,010619900015,01.06.19.90.00.15,,
01.06,010619900016,01.06.19.90.00.16,,
01.06,010619900017,01.06.19.90.00.17,,
01.06,010619900018,01.06.19.90.00.18,,
01.06,010619900019,01.06.19.90.00.19,,
01.06,010619909999,01.06.19.90.99.99,,
01.06,010620000001,01.06.20.00.00.01,,
01.06,010620000002,01.06.20.00.00.02,,
01.06,010620000003,01.06.20.00.00.03,,
01.06,010620000004,01.06.20.00.00.04,,
01.06,010620000005,01.06.20.00.00.05,,
01.06,010620000006,01.06.20.00.00.06,,
01.06,010620009999,01.06.20.00.99.99,,
05.04,010639100001,01.06.39.10.00.01,,
05.04,010639100003,01.06.39.10.00.03,,
05.04,010639100005,01.06.39.10.00.05,,
05.04,010639100008,01.06.39.10.00.08,,
05.04,010639100009,01.06.39.10.00.09,,
05.04,010639100010,01.06.39.10.00.10,,
05.04,010639100011,01.06.39.10.00.11,,
05.04,010639100012,01.06.39.10.00.12,,
05.04,010639100013,01.06.39.10.00.13,,
05.04,010639100014,01.06.39.10.00.14,,
05.04,010639200000,01.06.39.20.00.00,,
05.04,010639900001,01.06.39.90.00.01,,
05.04,010639909999,01.06.39.90.99.99,,
05.04,010641000000,01.06.41.00.00.00,,
05.04,010649000001,01.06.49.00.00.01,,
05.04,010649000002,01.06.49.00.00.02,,
05.04,010649000004,01.06.49.00.00.04,,
05.04,010649009999,01.06.49.00.99.99,,
05.04,010690000000,01.06.90.00.00.00,,
02.09,020110000001,02.01.10.00.00.01,,
02.09,020110000002,02.01.10.00.00.02,,
02.09,020110000003,02.01.10.00.00.03,,
02.09,020110000004,02.01.10.00.00.04,,
02.09,020120000000,02.01.20.00.00.00,,
02.09,020130000000,02.01.30.00.00.00,,
02.02,020210000001,02.02.10.00.00.01,,
02.02,020210000002,02.02.10.00.00.02,,
02.02,020220000000,02.02.20.00.00.00,,
02.02,020230100000,02.02.30.10.00.00,,
02.02,020230900000,02.02.30.90.00.00,,
02.03,020311000000,02.03.11.00.00.00,,
02.03,020312000000,02.03.12.00.00.00,,
02.03,020319000000,02.03.19.00.00.00,,
02.03,020322000000,02.03.22.00.00.00,,
02.03,020329000000,02.03.29.00.00.00,,
02.01,010632100000,01.06.32.10.00.00,,
02.01,010632200000,01.06.32.20.00.00,,
02.01,010632300000,01.06.32.30.00.00,,
02.01,010632400000,01.06.32.40.00.00,,
02.01,010632500000,01.06.32.50.00.00,,
02.01,010632600000,01.06.32.60.00.00,,
02.01,010632900000,01.06.32.90.00.00,,
02.01,010633000000,01.06.33.00.00.00,,
02.09,010631000001,01.06.31.00.00.01,,
02.09,010631000002,01.06.31.00.00.02,,
02.09,010631009999,01.06.31.00.99.99,,
02.09,020321000000,02.03.21.00.00.00,,
02.04,020410000001,02.04.10.00.00.01,,
02.04,020410000002,02.04.10.00.00.02,,
02.04,020410000003,02.04.10.00.00.03,,
02.04,020410000004,02.04.10.00.00.04,,
02.04,020421000001,02.04.21.00.00.01,,
02.04,020421000002,02.04.21.00.00.02,,
02.04,020421000003,02.04.21.00.00.03,,
02.04,020421000004,02.04.21.00.00.04,,
02.04,020422000000,02.04.22.00.00.00,,
02.04,020423000001,02.04.23.00.00.01,,
02.04,020423000002,02.04.23.00.00.02,,
02.04,020423000003,02.04.23.00.00.03,,
02.04,020423000004,02.04.23.00.00.04,,
02.04,020430000001,02.04.30.00.00.01,,
02.04,020430000002,02.04.30.00.00.02,,
02.04,020441000001,02.04.41.00.00.01,,
02.04,020441000002,02.04.41.00.00.02,,
02.04,020442000000,02.04.42.00.00.00,,
02.04,020443100001,02.04.43.10.00.01,,
02.04,020443100002,02.04.43.10.00.02,,
02.04,020443100003,02.04.43.10.00.03,,
02.04,020443900000,02.04.43.90.00.00,,
01.05,020450110001,02.04.50.11.00.01,,
01.05,020450110002,02.04.50.11.00.02,,
01.05,020450110003,02.04.50.11.00.03,,
