hs_code,code_format,description,duty_rate,efta,sg,usa,chapter,heading
010121100001,01.01.21.10.00.01,,,,,,1,01.01
010121100002,01.01.21.10.00.02,,,,,,1,01.01
010121900001,01.01.21.90.00.01,,,,,,1,01.01
010121900002,01.01.21.90.00.02,,,,,,1,01.01
010129100001,01.01.29.10.00.01,,,,,,1,01.01
010129100002,01.01.29.10.00.02,,,,,,1,01.01
010129100003,01.01.29.10.00.03,,,,,,1,01.01
010129100004,01.01.29.10.00.04,,,,,,1,01.01
010129200001,01.01.29.20.00.01,,,,,,1,01.01
010129200002,01.01.29.20.00.02,,,,,,1,01.01
010129900001,01.01.29.90.00.01,,,,,,1,01.01
010129900002,01.01.29.90.00.02,,,,,,1,01.01
010129900003,01.01.29.90.00.03, 01.02,,,,,1,01.01
010130000000,01.01.30.00.00.00, 01.02,,,,,1,01.01
010190000000,01.01.90.00.00.00, 01.02,,,,,1,01.01
010221000001,01.02.21.00.00.01,,,,,,1,01.02
010221000002,01.02.21.00.00.02,,,,,,1,01.02
010229000003,01.02.29.00.00.03,,,,,,1,01.02
010229000004,01.02.29.00.00.04,,,,,,1,01.02
010229009999,01.02.29.00.99.99,,,,,,1,01.02
010231000001,01.02.31.00.00.01,,,,,,1,01.02
010231000002,01.02.31.00.00.02,,,,,,1,01.02
010239000001,01.02.39.00.00.01,,,,,,1,01.02
010239000002,01.02.39.00.00.02,,,,,,1,01.02
010239009999,01.02.39.00.99.99,,,,,,1,01.02
010290110000,01.02.90.11.00.00,,,,,,1,01.02
010290120000,01.02.90.12.00.00, 01.03,,,,,1,01.02
010290190000,01.02.90.19.00.00, 01.03,,,,,1,01.02
010290900000,01.02.90.90.00.00, 01.03,,,,,1,01.02
010310000000,01.03.10.00.00.00, : غيرها كيلو غرام50 تزن أقل من- -,,,,,1,01.03
010391000000,01.03.91.00.00.00, كيلو غرام أو أكثر50 تزن- -,,,,,1,01.03
010392000000,01.03.92.00.00.00, .حيوانات حية من فصيلتي الضأن و الماعز : ضأن: ضأن أصيلة لألنسال- - ذكور الضأن االصيلة لألنسال,,,,,1,01.03
010410100001,01.04.10.10.00.01,,,,,,1,01.04
010410100002,01.04.10.10.00.02,,,,,,1,01.04
010410900001,01.04.10.90.00.01,,,,,,1,01.04
010410900002,01.04.10.90.00.02,,,,,,1,01.04
010410900003,01.04.10.90.00.03,,,,,,1,01.04
010410909999,01.04.10.90.99.99,,,,,,1,01.04
010420100001,01.04.20.10.00.01,,,,,,1,01.04
010420100002,01.04.20.10.00.02,,,,,,1,01.04
010420900001,01.04.20.90.00.01,,,,,,1,01.04
010420900002,01.04.20.90.00.02,,,,,,1,01.04
010420900003,01.04.20.90.00.03, A,,,,,1,01.04
010420909999,01.04.20.90.99.99, A,,,,,1,01.04
010511000000,01.05.11.00.00.00,,,,,,1,01.05
010512000000,01.05.12.00.00.00,,,,,,1,01.05
010513000000,01.05.13.00.00.00,,,,,,1,01.05
010514000000,01.05.14.00.00.00, : دواجن من فصيلة جالوس دوميستكوس- دجاج بياض- - دجاج الحم- - دجاج أمهات- - غيرها- - : غيرها- بط وإوز أليف- - ديوك ودجاج رومي- - غيرها- - .حيوانات حية أخر,,,,,1,01.05
010515000000,01.05.15.00.00.00, : دواجن من فصيلة جالوس دوميستكوس- دجاج بياض- - دجاج الحم- - دجاج أمهات- - غيرها- - : غيرها- بط وإوز أليف- - ديوك ودجاج رومي- - غيرها- - .حيوانات حية أخر : ثدييات: حيوانات رئيسة- : حيوانات من فصيلة القردة- - )انسان الغاب (اورنجتان,,,,,1,01.05
010594100000,01.05.94.10.00.00,,,,,,1,01.05
010594200000,01.05.94.20.00.00,,,,,,1,01.05
010594300000,01.05.94.30.00.00,,,,,,1,01.05
010594900000,01.05.94.90.00.00,,,,,,1,01.05
010599100000,01.05.99.10.00.00, 01.06,,,,,1,01.05
010599200000,01.05.99.20.00.00, 01.06,,,,,1,01.05
010599900000,01.05.99.90.00.00, 01.06,,,,,1,01.05
010611100001,01.06.11.10.00.01,,,,,,1,01.06
010611100002,01.06.11.10.00.02,,,,,,1,01.06
010611100003,01.06.11.10.00.03,,,,,,1,01.06
010611100004,01.06.11.10.00.04,,,,,,1,01.06
010611109999,01.06.11.10.99.99, حيتان ودالفين وخنازير بحرية (ثدييات من رتبة الحيتان) ؛ خراف بحر- وأطومات (ثدييات من رتبة الخيالنيات) ؛ عجل بحر وفقمات وفظ (ثدييات من الرتبة,,,,,1,01.06
010611900000,01.06.11.90.00.00, حيتان ودالفين وخنازير بحرية (ثدييات من رتبة الحيتان) ؛ خراف بحر- وأطومات (ثدييات من رتبة الخيالنيات) ؛ عجل بحر وفقمات وفظ (ثدييات من الرتبة : ) الفرعية لزعنفيات األقدام,,,,,1,01.06
010612000001,01.06.12.00.00.01,,,,,,1,01.06
010612000002,01.06.12.00.00.02,,,,,,1,01.06
010612000003,01.06.12.00.00.03,,,,,,1,01.06
010612000004,01.06.12.00.00.04,,,,,,1,01.06
010612000005,01.06.12.00.00.05, غيرها من ثدييات من رتبة الحيتان أو الخيالنيات او زعنفيات األقدام,,,,,1,01.06
010612000006,01.06.12.00.00.06, غيرها من ثدييات من رتبة الحيتان أو الخيالنيات او زعنفيات األقدام,,,,,1,01.06
010612009999,01.06.12.00.99.99, : جمال وحيوانات أخر من فصيلة الجمال- جمال أصيلة لألنسال- - -,,,,,1,01.06
010613100000,01.06.13.10.00.00, - - - For domestic competitions and racing :,,,,,1,01.06
010613200001,01.06.13.20.00.01,,,,,,1,01.06
010613200002,01.06.13.20.00.02,,,,,,1,01.06
010613900000,01.06.13.90.00.00,,,,,,1,01.06
010614000001,01.06.14.00.00.01,,,,,,1,01.06
010614000002,01.06.14.00.00.02,,,,,,1,01.06
010619300001,01.06.19.30.00.01,,,,,,1,01.06
010619300002,01.06.19.30.00.02,,,,,,1,01.06
010619300003,01.06.19.30.00.03,,,,,,1,01.06
010619300004,01.06.19.30.00.04,,,,,,1,01.06
010619300005,01.06.19.30.00.05,,,,,,1,01.06
010619300006,01.06.19.30.00.06,,,,,,1,01.06
010619300007,01.06.19.30.00.07,,,,,,1,01.06
010619309999,01.06.19.30.99.99,,,,,,1,01.06
010619400001,01.06.19.40.00.01,,,,,,1,01.06
010619400002,01.06.19.40.00.02,,,,,,1,01.06
010619409999,01.06.19.40.99.99,,,,,,1,01.06
010619500001,01.06.19.50.00.01,,,,,,1,01.06
010619500002,01.06.19.50.00.02,,,,,,1,01.06
010619500003,01.06.19.50.00.03,,,,,,1,01.06
010619500004,01.06.19.50.00.04,,,,,,1,01.06
