chapter,heading,hs_code,code_format,description,duty_rate,efta,sg,usa
1,01.01,010121100001,01.01.21.10.00.01,"رشطة عمان السلطانية اإلدارة العامة للجمارك Royal Oman Police Directorate General of Customs Oman's Customs Tariff for 2025,Will be valid on 1th january 2025 يناير1 للعمل بها اعتبارا من، م2025 التعرفة الجمركية لسلطنة عمان لعام م2025 Attached Tables الجداول المرفقة ملحق ببعض سلع (تقنية المعلومات) المعفاة بالتعرفة الجمركية الموحدة لدول.1 دالالت المصطلحات والتعابير الواردة في االتفاقيات.2 سلع من بنود متعددة ممنوعة.3 سلع من بنود متعددة مقيدة.4 1. Appendix of the EX-subheadings exempted from customs duties in the Common External Tariff 2. Abbreviations andGCC terms mention in 3. Multiple items of items prohibited 4. Restricted items of various codes القسم االول حيوانات حية ومنتجات المملكة الحيوانية Section I LIVE ANIMALS; ANIMAL PRODUCTS Notes. 1.- Any reference in this Section to a particular genus or species of an animal, except where the context otherwise requires, includes a reference to the young of that genus or species. 2.- Except where the context otherwise requires, throughout the Nomenclature any reference to "" dried "" products also covers products which have been dehydrated, evaporated or freeze-dried. : مالحظات . إال ما نص عليه بخالف ذلك، كل إشارة في هذا القسم إلى نوع أو جنس معين من الحيوان تشمل أيضا ً صغاره من هذا النوع أو الجنس-1 ، أو بخرت، فإن أية إشارة في جدول التعريفة إلى المنتجات ""المجففة"" تشمل أيضا ً المنتجات التي نزع ماؤها، ما لم ينص على خالف ذلك-2 .أو جففت بالتجميد الفصل األول حيوانـــــــــــــات حيــــــــــــــة Live animals Note. I.- This Chapter covers all live animals except : (a) Fish and crustaceans, molluscs and other aquatic invertebrates, of : مالحظــة : يشمل هذا الفصل جميع الحيوانات الحية بإستثناء-1 فـئة الرسم اإلجراء القيممة A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D P C I P C I P C I ممنوع إستيرادة PROHIBITED DESCRIPTION Live horses, asses, mules and hinnies. - Horses: - - Pure-bred breeding animals: - - - Of Arab breed : Of Arab breed males Of Arab breed females - - - Other : Of non-Arab breed males Of non-Arab breed females - - Other: - - - Horses for sport : Males of Arab breed for sport Females of Arab breed for sport Males of non-Arab breed for sport Females of non-Arab breed for sport - - - ponies : Ponies (males) Ponies (females) - - - Other : Pure-bred Arab horses for beauty contests Horses of foreign breeds for beauty contests Other horses for beauty contests - Asses - Other Live bovine animals. - cattle : - - Pure-bred breeding animals : Pure-bred bovine (males) Pure-bred bovine (females) - - Other : Bovine for slaughter Bovine for dairy production Other of cattle - Buffalo: - - Pure-bred breeding animals : Pure-bred breeding buffalo (males) Pure-bred breeding buffalo (females) - - Other : Buffalo for slaughter (males) Buffalo for slaughter (females) Other buffalo for other purposes - Other : - - - Oryx : - - - - Live arabian oryx - - - - Live african oryx - - - - Other live oryx - - - Other live bovine Live swine. - Pure-bred breeding animals - Other: A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D A A D ممنوع إستيرادة PROHIBITED ممنوع إستيرادة PROHIBITED - - Weighing less than 50 kg - - Weighing 50 kg or more Live sheep and goats. - sheep: - - - Pure- bred breeding : Pure- bred breeding sheep (males) Pure- bred breeding sheep (females) - - - Other : Sheep for slaughter (males) Sheep for slaughter (females) Sheep for dairy production (females) Other - Goats: - - - Pure- bred breeding : Pure- bred breeding goats (males) Pure- bred breeding goats (females) - - - Other : Goats for slaughter (males) Goats for slaughter (females) Goats for dairy production (females) Other الصنف . حية، )خيول و حمير و بغال و كوادن (نغال : خيول: أصيلة لألنسال- : خيول من أصل عربي- - ذكور خيول من اصل عربي لألنسال إناث خيول من أصل عربي لألنسال : غيرها- - ذكور خيول من أصل غير عربي لألنسال إناث خيول من أصل غير عربي لألنسال : غيرها- : خيول للرياضة- - ذكور خيول من أصل عربي للرياضة إناث خيول من أصل عربي للرياضة ذكور خيول من أصل غير عربي للرياضة إناث خيول من أصل غير عربي للرياضة : ) خيول صغيرة الجسم (بوني- - خيول صغيرة الجسم (بوني) ذكور خيول صغيرة الجسم (بوني) إناث : غيرها- - خيول عربيه أصيلة لمنافسات الجمال خيول ذات أصول أجنبية لمنافسات الجمال غيرها من خيول لمنافسات الجمال حمير غيرها.حيوانات حية من فصيلة األبقار : أبقار أليفة: أبقار أليفة أصيلة لألنسال- ذكور األبقار األليفة أصيلة لألنسال إناث األبقار األليفة أصيلة لألنسال : غيرها- أبقار أليفة غير أصيلة معدة للذبح أبقار أليفة أصيلة إلنتاج الحليب أبقار أليفة أخرى غير اصيلة : جاموس: جاموس أصيلة لألنسال- جاموس أصيلة لألنسال ذكور جاموس أصيلة لألنسال إناث : غيرها- جاموس معدة للذبح ذكور جاموس معدة للذبح إناث غيرها من جاموس ألغراض أخر : غيرها: المها- - المها العربي ِ حي- - - المها االفريقي حي- - - غيرها من المها حي- - - غيرها من فصلية األبقار- - .حيوانات حية من فصيلة الخنازير خنازير أصيلة لألنسال-",0%,,,
1,01.01,010121100002,01.01.21.10.00.02,,0%,,,
1,01.01,010121900001,01.01.21.90.00.01,,0%,,,
1,01.01,010121900002,01.01.21.90.00.02,,0%,,,
1,01.01,010129100001,01.01.29.10.00.01,,0%,,,
1,01.01,010129100002,01.01.29.10.00.02,,0%,,,
1,01.01,010129100003,01.01.29.10.00.03,,0%,,,
1,01.01,010129100004,01.01.29.10.00.04,,0%,,,
1,01.01,010129200001,01.01.29.20.00.01,,0%,,,
1,01.01,010129200002,01.01.29.20.00.02,,0%,,,
